Country,More Concerned,Equally Concerned & Excited,More Excited,Concern index
U.S.,0.5,0.38,0.1,1.041666667
Italy,0.5,0.37,0.12,1.020408163
Australia,0.49,0.38,0.13,0.9607843137
Brazil,0.49,0.41,0.1,0.9607843137
Greece,0.47,0.39,0.1,0.9591836735
Canada,0.45,0.45,0.09,0.8333333333
UK,0.39,0.41,0.13,0.7222222222
Argentina,0.39,0.41,0.13,0.7222222222
Spain,0.39,0.38,0.19,0.6842105263
Poland,0.37,0.42,0.15,0.649122807
Mexico,0.35,0.47,0.13,0.5833333333
France,0.34,0.47,0.15,0.5483870968
Netherlands,0.34,0.44,0.17,0.5573770492
Hungary,0.33,0.47,0.14,0.5409836066
Indonesia,0.32,0.49,0.14,0.5079365079
Kenya,0.31,0.51,0.17,0.4558823529
Sweden,0.31,0.45,0.22,0.4626865672
South Africa,0.3,0.51,0.18,0.4347826087
Germany,0.28,0.53,0.17,0.4
Japan,0.28,0.58,0.1,0.4117647059
Turkey,0.27,0.35,0.29,0.421875
Nigeria,0.26,0.36,0.27,0.4126984127
Israel,0.21,0.34,0.22,0.375
India,0.19,0.39,0.16,0.3454545455
South Korea,0.16,0.61,0.22,0.1927710843
