Country,Not too much / No trust,A lot / Some trust,Not sure,Trust index,Region
India,0.01,0.89,0.1,89,East
Indonesia,0.16,0.74,0.1,4.625,East
Israel,0.19,0.72,0.07,3.789473684,East
Turkey,0.27,0.6,0.12,2.222222222,East
South Korea,0.29,0.55,0.15,1.896551724,East
Japan,0.39,0.41,0.21,1.051282051,East
South Africa,0.24,0.64,0.12,2.666666667,South
Australia,0.32,0.65,0.03,2.03125,South
Kenya,0.28,0.54,0.18,1.928571429,South
Nigeria,0.37,0.46,0.17,1.243243243,South
Germany,0.2,0.7,0.1,3.5,West
Netherlands,0.21,0.68,0.11,3.238095238,West
Canada,0.23,0.64,0.13,2.782608696,West
UK,0.3,0.59,0.11,1.966666667,West
Sweden,0.29,0.55,0.16,1.896551724,West
Hungary,0.33,0.56,0.1,1.696969697,West
Poland,0.34,0.53,0.12,1.558823529,West
Spain,0.35,0.53,0.12,1.514285714,West
Mexico,0.37,0.5,0.12,1.351351351,West
France,0.45,0.47,0.08,1.044444444,West
U.S.,0.47,0.44,0.09,0.9361702128,West
Brazil,0.45,0.36,0.19,0.8,West
Italy,0.48,0.37,0.15,0.7708333333,West
Argentina,0.43,0.33,0.23,0.7674418605,West
Greece,0.73,0.22,0.05,0.301369863,West
